년도,학년,학기,과목명
2021,1,1,대학글쓰기
2021,1,1,ActionEnglish
2021,1,1,기초컴퓨터프로그래밍
2021,1,1,수학Ⅰ
2021,1,1,빅데이터의이해와활용
2021,1,1,창의공학설계
2021,1,1,미래설계탐색
2021,1,2,역사와비판적사고
2021,1,2,응용컴퓨터프로그래밍
2021,1,2,공업법규와창업
2021,1,2,확대교양영역택1
2021,1,2,기초통계학
2021,1,2,오픈소스SW이해및실습
2021,1,2,미래설계준비
2021,2,1,일반교양인간과문화분야택1
2021,2,1,C/C++프로그래밍
2021,2,1,전자회로및설계
2021,2,1,데이터통신
2021,2,1,오픈소스기초프로젝트
2021,2,1,이산수학
2021,2,1,미래설계구현
2021,2,2,오토마타이론
2021,2,2,논리회로및설계
2021,2,2,선형대수학
2021,2,2,오픈소스개발프로젝트
2021,2,2,데이터구조
2021,2,2,컴퓨터네트워크
2021,2,2,창업탐색
2021,3,1,응용수학
2021,3,1,알고리즘
2021,3,1,오픈소스전문프로젝트
2021,3,1,컴퓨터구조
2021,3,1,운영체제
2021,3,1,프로그래밍언어론
2021,3,1,창업기획
2021,3,2,마이크로프로세서
2021,3,2,정보보호
2021,3,2,소프트웨어공학
2021,3,2,데이터베이스시스템
2021,3,2,인공지능
2021,3,2,산학프로젝트
2021,3,2,창업설계
2021,4,1,머신러닝
2021,4,1,사이버물리시스템
2021,4,1,소프트웨어실전영어
2021,4,1,분산컴퓨팅시스템
2021,4,1,컴퓨터비전
2021,4,1,컴퓨터교재연구및지도법
2021,4,1,창업산학초청세미나Ⅰ
2021,4,1,캡스톤디자인
2021,4,2,인공신경망
2021,4,2,자연언어처리
2021,4,2,데이터마이닝
2021,4,2,컴퓨터논리및논술
2021,4,2,창업산학초청세미나Ⅱ
2021,4,2,창업파일럿프로젝트
2022,1,1,대학글쓰기
2022,1,1,ActionEnglish
2022,1,1,기초컴퓨터프로그래밍
2022,1,1,수학Ⅰ
2022,1,1,빅데이터의이해와활용
2022,1,1,창의공학설계
2022,1,1,미래설계탐색
2022,1,2,역사와비판적사고
2022,1,2,응용컴퓨터프로그래밍
2022,1,2,공업법규와창업
2022,1,2,확대교양영역택1
2022,1,2,기초통계학
2022,1,2,오픈소스SW이해및실습
2022,1,2,미래설계준비
2022,2,1,일반교양인간과문화분야택1
2022,2,1,C/C++프로그래밍
2022,2,1,전자회로및설계
2022,2,1,데이터통신
2022,2,1,오픈소스기초프로젝트
2022,2,1,이산수학
2022,2,1,미래설계구현
2022,2,2,오토마타이론
2022,2,2,논리회로및설계
2022,2,2,선형대수학
2022,2,2,오픈소스개발프로젝트
2022,2,2,데이터구조
2022,2,2,컴퓨터네트워크
2022,2,2,창업탐색
2022,3,1,응용수학
2022,3,1,알고리즘
2022,3,1,오픈소스전문프로젝트
2022,3,1,컴퓨터구조
2022,3,1,운영체제
2022,3,1,프로그래밍언어론
2022,3,1,창업기획
2022,3,2,마이크로프로세서
2022,3,2,정보보호
2022,3,2,소프트웨어공학
2022,3,2,데이터베이스시스템
2022,3,2,인공지능
2022,3,2,산학프로젝트
2022,3,2,창업설계
2022,4,1,머신러닝
2022,4,1,사이버물리시스템
2022,4,1,소프트웨어실전영어
2022,4,1,분산컴퓨팅시스템
2022,4,1,컴퓨터비전
2022,4,1,컴퓨터교재연구및지도법
2022,4,1,창업산학초청세미나Ⅰ
2022,4,1,캡스톤디자인
2022,4,2,인공신경망
2022,4,2,자연언어처리
2022,4,2,데이터마이닝
2022,4,2,컴퓨터논리및논술
2022,4,2,창업산학초청세미나Ⅱ
2022,4,2,창업파일럿프로젝트
2023,1,1,대학글쓰기
2023,1,1,ActionEnglish
2023,1,1,기초컴퓨터프로그래밍
2023,1,1,수학Ⅰ
2023,1,1,빅데이터의이해와활용
2023,1,1,창의공학설계
2023,1,1,미래설계탐색
2023,1,2,역사와비판적사고
2023,1,2,응용컴퓨터프로그래밍
2023,1,2,공업법규와창업
2023,1,2,확대교양영역택1
2023,1,2,기초통계학
2023,1,2,오픈소스SW이해및실습
2023,1,2,미래설계준비
2023,2,1,일반교양인간과문화분야택1
2023,2,1,C/C++프로그래밍
2023,2,1,전자회로및설계
2023,2,1,데이터통신
2023,2,1,오픈소스기초프로젝트
2023,2,1,이산수학
2023,2,1,미래설계구현
2023,2,2,오토마타이론
2023,2,2,논리회로및설계
2023,2,2,선형대수학
2023,2,2,오픈소스개발프로젝트
2023,2,2,데이터구조
2023,2,2,컴퓨터네트워크
2023,2,2,창업탐색
2023,3,1,응용수학
2023,3,1,알고리즘
2023,3,1,오픈소스전문프로젝트
2023,3,1,컴퓨터구조
2023,3,1,운영체제
2023,3,1,프로그래밍언어론
2023,3,1,창업기획
2023,3,2,마이크로프로세서
2023,3,2,정보보호
2023,3,2,소프트웨어공학
2023,3,2,데이터베이스시스템
2023,3,2,인공지능
2023,3,2,산학프로젝트
2023,3,2,창업설계
2023,4,1,머신러닝
2023,4,1,사이버물리시스템
2023,4,1,소프트웨어실전영어
2023,4,1,분산컴퓨팅시스템
2023,4,1,컴퓨터비전
2023,4,1,컴퓨터교재연구및지도법
2023,4,1,창업산학초청세미나Ⅰ
2023,4,1,캡스톤디자인
2023,4,2,인공신경망
2023,4,2,자연언어처리
2023,4,2,데이터마이닝
2023,4,2,컴퓨터논리및논술
2023,4,2,창업산학초청세미나Ⅱ
2023,4,2,창업파일럿프로젝트
2024,1,1,대학글쓰기
2024,1,1,ActionEnglish
2024,1,1,기초컴퓨터프로그래밍
2024,1,1,수학Ⅰ
2024,1,1,빅데이터의이해와활용
2024,1,1,창의공학설계
2024,1,1,미래설계탐색
2024,1,2,역사와비판적사고
2024,1,2,응용컴퓨터프로그래밍
2024,1,2,공업법규와창업
2024,1,2,확대교양영역택1
2024,1,2,기초통계학
2024,1,2,오픈소스SW이해및실습
2024,1,2,미래설계준비
2024,2,1,일반교양인간과문화분야택1
2024,2,1,C/C++프로그래밍
2024,2,1,전자회로및설계
2024,2,1,데이터통신
2024,2,1,오픈소스기초프로젝트
2024,2,1,이산수학
2024,2,1,미래설계구현
2024,2,2,오토마타이론
2024,2,2,논리회로및설계
2024,2,2,선형대수학
2024,2,2,오픈소스개발프로젝트
2024,2,2,데이터구조
2024,2,2,컴퓨터네트워크
2024,2,2,창업탐색
2024,3,1,응용수학
2024,3,1,알고리즘
2024,3,1,오픈소스전문프로젝트
2024,3,1,머신러닝수학
2024,3,1,컴퓨터구조
2024,3,1,운영체제
2024,3,1,프로그래밍언어론
2024,3,1,창업기획
2024,3,2,마이크로프로세서
2024,3,2,정보보호
2024,3,2,소프트웨어공학
2024,3,2,데이터베이스시스템
2024,3,2,인공지능
2024,3,2,산학프로젝트
2024,3,2,창업설계
2024,4,1,머신러닝
2024,4,1,사이버물리시스템
2024,4,1,소프트웨어실전영어
2024,4,1,분산컴퓨팅시스템
2024,4,1,컴퓨터교재연구및지도법
2024,4,1,창업산학초청세미나Ⅰ
2024,4,1,캡스톤디자인
2024,4,2,인공신경망
2024,4,2,자연언어처리
2024,4,2,데이터마이닝
2024,4,2,컴퓨터논리및논술
2024,4,2,창업산학초청세미나Ⅱ
2024,4,2,창업파일럿프로젝트
2025,1,1,대학글쓰기
2025,1,1,ActionEnglish
2025,1,1,기초컴퓨터프로그래밍
2025,1,1,수학Ⅰ
2025,1,1,빅데이터의이해와활용
2025,1,1,창의공학설계
2025,1,1,미래설계탐색
2025,1,2,역사와비판적사고
2025,1,2,응용컴퓨터프로그래밍
2025,1,2,공업법규와창업
2025,1,2,확대교양영역택1
2025,1,2,기초통계학
2025,1,2,오픈소스SW이해및실습
2025,1,2,미래설계준비
2025,2,1,일반교양인간과문화분야택1
2025,2,1,C/C++프로그래밍
2025,2,1,전자회로및설계
2025,2,1,데이터통신
2025,2,1,오픈소스기초프로젝트
2025,2,1,이산수학
2025,2,1,미래설계구현
2025,2,2,오토마타이론
2025,2,2,논리회로및설계
2025,2,2,선형대수학
2025,2,2,오픈소스개발프로젝트
2025,2,2,데이터구조
2025,2,2,컴퓨터네트워크
2025,2,2,창업탐색
2025,3,1,응용수학
2025,3,1,알고리즘
2025,3,1,오픈소스전문프로젝트
2025,3,1,머신러닝수학
2025,3,1,컴퓨터구조
2025,3,1,운영체제
2025,3,1,프로그래밍언어론
2025,3,1,창업기획
2025,3,2,마이크로프로세서
2025,3,2,정보보호
2025,3,2,소프트웨어공학
2025,3,2,데이터베이스시스템
2025,3,2,인공지능
2025,3,2,산학프로젝트
2025,3,2,창업설계
2025,4,1,머신러닝
2025,4,1,소프트웨어실전영어
2025,4,1,분산컴퓨팅시스템
2025,4,1,컴퓨터교재연구및지도법
2025,4,1,창업산학초청세미나Ⅰ
2025,4,1,시스템소프트웨어
2025,4,1,캡스톤디자인
2025,4,2,인공신경망
2025,4,2,자연언어처리
2025,4,2,데이터마이닝
2025,4,2,컴퓨터논리및논술
2025,4,2,창업산학초청세미나Ⅱ
2025,4,2,창업파일럿프로젝트
2025,4,2,AI증강프로그래밍
2026,1,1,대학글쓰기
2026,1,1,ActionEnglish
2026,1,1,기초컴퓨터프로그래밍
2026,1,1,수학Ⅰ
2026,1,1,빅데이터의이해와활용
2026,1,1,창의공학설계
2026,1,1,미래설계탐색
2026,1,2,역사와비판적사고
2026,1,2,응용컴퓨터프로그래밍
2026,1,2,공업법규와창업
2026,1,2,확대교양영역택1
2026,1,2,기초통계학
2026,1,2,오픈소스SW이해및실습
2026,1,2,미래설계준비
2026,2,1,일반교양인간과문화분야택1
2026,2,1,C/C++프로그래밍
2026,2,1,전자회로및설계
2026,2,1,데이터통신
2026,2,1,오픈소스기초프로젝트
2026,2,1,이산수학
2026,2,1,미래설계구현
2026,2,2,오토마타이론
2026,2,2,논리회로및설계
2026,2,2,선형대수학
2026,2,2,오픈소스개발프로젝트
2026,2,2,데이터구조
2026,2,2,컴퓨터네트워크
2026,2,2,창업탐색
2026,3,1,응용수학
2026,3,1,알고리즘
2026,3,1,오픈소스전문프로젝트
2026,3,1,머신러닝수학
2026,3,1,컴퓨터구조
2026,3,1,운영체제
2026,3,1,프로그래밍언어론
2026,3,1,창업기획
2026,3,2,마이크로프로세서
2026,3,2,정보보호
2026,3,2,소프트웨어공학
2026,3,2,데이터베이스시스템
2026,3,2,인공지능
2026,3,2,산학프로젝트
2026,3,2,창업설계
2026,4,1,머신러닝
2026,4,1,소프트웨어실전영어
2026,4,1,분산컴퓨팅시스템
2026,4,1,컴퓨터교재연구및지도법
2026,4,1,창업산학초청세미나Ⅰ
2026,4,1,시스템소프트웨어
2026,4,1,캡스톤디자인
2026,4,2,인공신경망
2026,4,2,자연언어처리
2026,4,2,데이터마이닝
2026,4,2,컴퓨터논리및논술
2026,4,2,창업산학초청세미나Ⅱ
2026,4,2,창업파일럿프로젝트
2026,4,2,AI증강프로그래밍
